region_id,patient_id,n_cells,frac__tumor,frac__t_cell,frac__cd8,frac__cd4,frac__b_cell,frac__macrophage,frac__apc,frac__granulocyte,frac__vessel,frac__stroma,frac__immune,tumor_high_score,cd8_high_score,immune_exclusion_score,t_tumor_mixing_score,cd8_tumor_contact_score,macrophage_tumor_niche_score,granulocyte_tumor_niche_score,apc_t_contact_score,tls_like_score,interface_immune_score,vessel_immune_score,tumor_stroma_mixing_score,cd8_clustering_score,tumor_high_score_used,tumor_high_label,cd8_high_score_used,cd8_high_label,immune_exclusion_score_used,immune_exclusion_label,t_tumor_mixing_score_used,t_tumor_mixing_label,cd8_tumor_contact_score_used,cd8_tumor_contact_label,macrophage_tumor_niche_score_used,macrophage_tumor_niche_label,granulocyte_tumor_niche_score_used,granulocyte_tumor_niche_label,apc_t_contact_score_used,apc_t_contact_label,tls_like_score_used,tls_like_label,interface_immune_score_used,interface_immune_label,vessel_immune_score_used,vessel_immune_label,tumor_stroma_mixing_score_used,tumor_stroma_mixing_label,cd8_clustering_score_used,cd8_clustering_label,tumor_high_p_low,tumor_high_p_high,tumor_high_label_v2,cd8_high_p_low,cd8_high_p_high,cd8_high_label_v2,immune_exclusion_p_low,immune_exclusion_p_high,immune_exclusion_label_v2,t_tumor_mixing_p_low,t_tumor_mixing_p_high,t_tumor_mixing_label_v2,cd8_tumor_contact_p_low,cd8_tumor_contact_p_high,cd8_tumor_contact_label_v2,macrophage_tumor_niche_p_low,macrophage_tumor_niche_p_high,macrophage_tumor_niche_label_v2,granulocyte_tumor_niche_p_low,granulocyte_tumor_niche_p_high,granulocyte_tumor_niche_label_v2,apc_t_contact_p_low,apc_t_contact_p_high,apc_t_contact_label_v2,tls_like_p_low,tls_like_p_high,tls_like_label_v2,interface_immune_p_low,interface_immune_p_high,interface_immune_label_v2,vessel_immune_p_low,vessel_immune_p_high,vessel_immune_label_v2,tumor_stroma_mixing_p_low,tumor_stroma_mixing_p_high,tumor_stroma_mixing_label_v2,cd8_clustering_p_low,cd8_clustering_p_high,cd8_clustering_label_v2
Charville_c001_v001_r001_reg002,68221.0,2537.0,0.5849428458809618,0.1178557351202207,0.0721324398896334,0.0457232952305873,0.0074891604256996,0.0788332676389436,0.0898699251083957,0.015372487189594,0.0429641308632242,0.1257390618841151,0.219550650374458,0.5849428458809618,0.0721324398896334,0.1693989071038251,0.4361492058900276,0.5617220795766236,0.3582668114657316,0.7055409723867224,0.1516866792678168,0.0,0.6032315978456014,0.0684603785771543,0.0444886059410318,0.0970193268969811,0.5849428458809618,1.0,0.0721324398896334,1.0,0.1102941197223073,1.0,0.0016378805067387,,0.0560662720680896,1.0,-0.0621700591621033,0.0,0.1330964185570979,1.0,0.0044980661077357,1.0,-0.0181860953494119,,0.2060291860426149,1.0,0.0132776909282059,1.0,-0.0399995892470342,0.0,-0.0051658732019797,,,,1.0,,,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.984,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.773,,0.396,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
Charville_c001_v001_r001_reg003,68221.0,2247.0,0.6853582554517134,0.0881174899866488,0.0720961281708945,0.0160213618157543,0.0360480640854472,0.0707610146862483,0.0858923008455718,0.0409434801958166,0.0178015131286159,0.0311526479750778,0.2358700489541611,0.6853582554517134,0.0720961281708945,0.0,0.588386272451536,0.5973734692498958,0.5991954780208023,0.6847804717248928,0.1179199476191116,0.0,0.2188679245283019,0.0283120786816807,0.0279799219230623,0.097133630796058,0.6853582554517134,1.0,0.0720961281708945,1.0,-0.0274076380364406,,0.0738171056239601,1.0,-0.0069808467551296,,0.1075161514133328,1.0,0.0429492756879156,1.0,0.0031088833780994,,-0.0355797649876267,0.0,-0.1312804577674372,0.0,0.0024553607487233,,0.0099571827932766,1.0,-0.0050105689441538,,,,1.0,,,1.0,0.0,0.007,,0.0,1.0,1.0,0.001,0.0,,0.0,1.0,1.0,0.0,0.995,1.0,0.0,0.275,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.137,,0.0,0.573,,0.0,0.0,
Charville_c001_v001_r001_reg008,68238.0,3000.0,0.2186666666666666,0.219,0.0536666666666666,0.1653333333333333,0.1703333333333333,0.1176666666666666,0.1236666666666666,0.1086666666666666,0.066,0.0923333333333333,0.6156666666666667,0.2186666666666666,0.0536666666666666,0.0124223602484472,0.1819501018610404,0.1735106702581847,0.2056440912710561,0.2170907588252546,0.2126418789342736,0.6663333333333333,0.2333513806172171,0.0592759745726286,0.0840469526741452,0.0661472437081301,0.2186666666666666,0.0,0.0536666666666666,1.0,-0.1832236008007586,0.0,0.0410676474935897,,0.0453525546623226,,0.0447463425031026,1.0,0.0134049999779419,,-0.0410221718726979,0.0,0.3843764956289547,1.0,-0.2140042024678922,0.0,-0.0013978996189803,,0.0181419547167895,1.0,-0.0151878464810366,0.0,,,0.0,,,1.0,1.0,0.0,0.0,0.0,0.442,,0.0,0.292,,0.0,0.696,,0.0,0.004,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0
Charville_c001_v001_r001_reg014,68235.0,2152.0,0.5288104089219331,0.0896840148698884,0.0529739776951672,0.0367100371747211,0.070631970260223,0.1068773234200743,0.1198884758364312,0.0148698884758364,0.0176579925650557,0.1556691449814126,0.2820631970260223,0.5288104089219331,0.0529739776951672,0.131578947368421,0.2791016858528758,0.3316854525461412,0.3135977984099314,0.5519735932755141,0.1545378636384793,0.037174721189591,0.342668863261944,0.0215365201350849,0.0952882784662445,0.1070658239841853,0.5288104089219331,1.0,0.0529739776951672,1.0,0.0331799420872569,1.0,-0.1008222057034126,0.0,-0.1007678132441878,0.0,-0.0678302372506806,0.0,0.0268665383565752,,0.0440981970620206,1.0,-0.0423156655446369,0.0,-0.0617378033368385,,-0.0017578321835442,,-0.0105281912919526,0.0,0.0265128641187626,1.0,,,1.0,,,1.0,0.0,0.991,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.413,,0.0,1.0,1.0,1.0,0.0,0.0,0.235,0.0,,0.0,0.0,,0.943,0.0,0.0,0.0,1.0,1.0
Charville_c001_v001_r001_reg015,68235.0,1888.0,0.3935381355932203,0.1175847457627118,0.0540254237288135,0.0635593220338983,0.1022245762711864,0.1440677966101695,0.1498940677966101,0.0042372881355932,0.0715042372881356,0.1594279661016949,0.368114406779661,0.3935381355932203,0.0540254237288135,0.2156862745098039,0.2198166392241674,0.2623402536347879,0.2498042527673089,0.5891130134703583,0.164854818938107,0.1122881355932203,0.4359712230215827,0.0738499323175395,0.0736082739268557,0.0828332163893587,0.3935381355932203,0.0,0.0540254237288135,1.0,0.0757150059292055,1.0,-0.04958935301935,0.0,-0.0380960949884318,0.0,-0.0365635681555589,0.0,0.1722426593511075,1.0,0.0287638627084615,1.0,-0.0234082193016383,0.0,-0.0030192139669508,,-0.0059148447943325,0.0,-0.0364477508908269,0.0,0.0010930457258268,,,,0.0,,,1.0,0.0,1.0,1.0,0.959,0.0,0.0,0.88,0.0,,0.715,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,0.973,0.0,0.0,0.0,0.0,,0.997,0.0,0.0,1.0,0.0,0.0,0.0,0.164,
Charville_c001_v001_r001_reg016,68234.0,2078.0,0.4393647738209817,0.1717998075072185,0.0919153031761308,0.0798845043310875,0.0024061597690086,0.1217516843118383,0.1246390760346487,0.0057747834456207,0.0433108758421559,0.1992300288739172,0.3017324350336862,0.4393647738209817,0.0919153031761308,0.5026178010471204,0.2320489350552165,0.224617895834509,0.2744063406312039,0.5138722236559209,0.224488210089684,0.0,0.518341307814992,0.050905481805466,0.1037267167171908,0.1403786488381823,0.4393647738209817,0.0,0.0919153031761308,1.0,0.4197556226628246,1.0,-0.0887757935190868,0.0,-0.1564972117893205,0.0,-0.0438284524494147,0.0,0.0590542344693551,1.0,0.0235238391257406,1.0,-0.0446698109953524,0.0,0.0811407946743089,1.0,-0.0003999385765769,,-0.0332257217555502,0.0,0.0158561835257135,1.0,,,0.0,,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.956,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0,1.0
Charville_c001_v001_r001_reg029,68239.0,2415.0,0.5846790890269151,0.1159420289855072,0.0331262939958592,0.082815734989648,0.05175983436853,0.0728778467908902,0.0761904761904762,0.0194616977225672,0.0351966873706004,0.0902691511387163,0.2600414078674948,0.5846790890269151,0.0331262939958592,0.425,0.2290148466868453,0.4092064581343105,0.1771761053856329,0.7198548265788407,0.2390511510199917,0.0347826086956521,0.5700636942675159,0.0594340353735534,0.0295000016912092,0.0456169460296978,0.5846790890269151,1.0,0.0331262939958592,1.0,0.3219312852640488,1.0,-0.2048488870052544,0.0,-0.0595205310700762,0.0,-0.2428664226565508,0.0,0.1501692983491211,1.0,0.0915317054058452,1.0,-0.0372305172331453,0.0,0.1835445894754757,1.0,0.015145919186171,1.0,-0.0305252828060242,0.0,-0.012525558471164,0.0,,,1.0,,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.925,0.0,0.0
Charville_c001_v001_r001_reg030,68239.0,2325.0,0.4696774193548387,0.1389247311827957,0.0554838709677419,0.0834408602150537,0.0202150537634408,0.0795698924731182,0.086021505376344,0.0172043010752688,0.0778494623655914,0.1754838709677419,0.2559139784946236,0.4696774193548387,0.0554838709677419,0.0930232558139535,0.3853769389680933,0.4890064486897924,0.2972589073785562,0.4686000520549643,0.1687997580530499,0.010752688172043,0.5142857142857142,0.0978662062437908,0.0672968612622994,0.0853881879088839,0.4696774193548387,0.0,0.0554838709677419,1.0,-0.0212421940117254,,0.0456317837542123,1.0,0.1123356819197002,1.0,-0.0411040376581231,0.0,-0.0048636055724123,,-0.0025268016951807,,-0.0360505670559393,0.0,0.0777601450238296,1.0,0.0050908426095319,1.0,-0.052907130650423,0.0,0.0020012524518002,,,,0.0,,,1.0,0.0,0.039,,0.0,0.599,,0.0,1.0,1.0,0.925,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,0.0,0.999,1.0,0.0,0.998,1.0,1.0,0.0,0.0,0.0,0.464,
Charville_c001_v001_r001_reg031,68265.0,3039.0,0.6581112207963146,0.0536360644948996,0.0177690029615004,0.0358670615333991,0.1010200723922342,0.0579137874300756,0.0924646265218822,0.0388285620269825,0.0177690029615004,0.0315893385982231,0.2513984863441921,0.6581112207963146,0.0177690029615004,0.0925925925925925,0.3980665993479899,0.4716120453432571,0.4609675527850862,0.6607410952494809,0.0964718979080945,0.0947680157946693,0.2853403141361256,0.0292800146502692,0.022435503908146,0.0445540745764152,0.6581112207963146,1.0,0.0177690029615004,0.0,-0.004543067706518,,-0.0854373403107367,0.0,-0.0548791856119665,0.0,-0.0108592589090504,,0.0407279072307323,1.0,0.0212141757439637,1.0,-0.0005519215646031,,-0.0722551150666865,0.0,0.0042668601887977,1.0,0.0037798379487981,,0.0037518245082691,1.0,,,1.0,,,0.0,0.0,0.367,,1.0,0.0,0.0,0.999,0.0,0.0,0.0,0.0,,0.0,0.936,1.0,0.0,1.0,1.0,0.0,0.0,,0.686,0.0,,0.0,0.885,,0.0,0.0,,0.0,0.77,
Charville_c001_v001_r001_reg033,68264.0,2723.0,0.4660301138450238,0.1468968049944913,0.0576569959603378,0.0892398090341535,0.0620639001101726,0.0782225486595666,0.2104296731546089,0.0139551964744766,0.0275431509364671,0.0697759823723834,0.3011384502387073,0.4660301138450238,0.0576569959603378,0.0573248407643312,0.3233043000213368,0.3720108105136816,0.3248878727300138,0.5042942084759483,0.1540199872273276,0.1131105398457583,0.3280487804878049,0.0377667179906341,0.0480037273011727,0.076177835057872,0.4660301138450238,0.0,0.0576569959603378,1.0,-0.0556487117120523,,-0.0150461129680712,,-0.0031167162791981,,-0.0108305130741669,,0.0319123337176981,1.0,-0.0038015897373977,,0.0094780428893554,,-0.0979702992069957,0.0,0.0042757566614877,1.0,0.0006695860784075,,-0.009662823533155,,,,0.0,,,1.0,0.0,0.0,,0.09,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.647,,0.0,0.0,,0.0,0.027,,1.0,0.0,0.0,0.0,0.902,1.0,0.001,0.0,,0.338,0.0,
